-49.93 15.65 284 51 -31 35 66 -137 2.711 25 201811111403A  
162.33 55.54 274 41 115 62 53 69 2.198 25 201811142121A  
-25.08 -56.79 163 28 90 342 62 90 4.901 25 201811152002A  
-122.26 -56.23 283 75 5 191 85 165 3.399 25 201811152309A  
163.20 -10.48 44 46 -110 252 48 -70 1.848 25 201811160326B  
-178.79 -17.86 39 58 -177 308 88 -32 1.718 26 201811182025A  
-81.13 13.22 250 86 0 160 90 176 1.185 25 201811250340A  
45.58 34.24 30 79 173 121 83 11 3.517 25 201811251637A  
-150.02 61.49 7 26 -91 189 64 -89 4.798 26 201811301729A  
128.67 -7.47 121 47 66 335 48 114 6.291 25 201812011327A  
169.25 -21.95 312 36 -90 132 54 -90 2.520 27 201812050418A  
169.81 -21.98 314 28 80 145 62 95 1.381 26 201812050643A  
-25.68 -58.58 112 26 9 13 86 116 5.638 26 201812110226A  
-129.33 -55.33 200 87 179 290 89 3 3.724 25 201812121314A  
140.40 -3.94 301 18 -106 137 72 -85 2.029 25 201812160942A  
-101.06 -36.17 95 82 173 186 84 8 2.790 25 201812190137A  
164.75 54.94 58 68 -19 155 73 -156 0.879 27 201812201701A  
151.99 -5.75 245 28 74 83 63 98 1.136 25 201812210633A  
166.56 -13.45 164 34 87 347 56 92 1.315 25 201812221425A  
-174.94 -20.20 265 15 -8 3 88 -104 5.804 25 201812232308A  
164.60 55.33 328 80 171 60 81 10 1.665 25 201812241241A  
126.91 5.87 34 46 134 160 59 55 3.717 26 201812290339A  
-161.41 54.29 236 24 90 56 66 90 1.571 25 201812310235A  
-178.16 51.19 278 20 106 81 71 84 1.398 25 201901051847A  
-71.68 -8.10 349 36 -77 154 55 -99 1.786 26 201901051925A  
126.63 2.48 18 34 79 210 56 97 1.091 26 201901061727A  
131.31 30.46 204 24 66 50 68 100 4.768 25 201901081239A  
166.50 -13.41 178 39 99 347 52 83 0.785 26 201901151806A  
146.34 -3.15 263 82 0 173 90 172 2.156 25 201901171506A  
168.47 -19.17 162 43 92 340 47 89 1.454 25 201901181318A  
-71.39 -30.18 187 39 -106 28 53 -77 1.137 26 201901200132A  
119.09 -10.32 254 23 71 95 68 98 1.729 25 201901212359A  
119.07 -10.37 260 23 81 90 68 94 5.801 25 201901220510A  
42.17 -43.01 75 41 -92 258 49 -88 1.167 26 201901221901A  
156.25 -6.99 18 21 50 240 74 104 2.606 25 201901260351A  
-179.01 -21.04 236 12 -95 61 78 -89 2.284 25 201901261956A  
-92.46 14.86 202 8 -17 310 88 -97 1.207 26 201902011614A  
99.86 -3.11 324 12 102 131 78 87 2.045 25 201902020927A  
99.95 -3.04 339 5 122 127 85 87 2.727 25 201902021059A  
