  -1.3358502853240489e+02  -1.3248504130786350e+02  -7.9904717954708593e+00  -3.9904735513830585e+00
  -1.3362005542921551e+02  -1.3252008095336208e+02  -7.9809406430944128e+00  -3.9809441554212981e+00
  -1.3365508069197961e+02  -1.3255511893801182e+02  -7.9714065465702415e+00  -3.9714118158136840e+00
  -1.3369010432224698e+02  -1.3259015526333087e+02  -7.9618695095983938e+00  -3.9618765362596435e+00
  -1.3372512632156969e+02  -1.3262518993083970e+02  -7.9523295358793851e+00  -3.9523383204590696e+00
  -1.3376014669150192e+02  -1.3266022294206093e+02  -7.9427866291142095e+00  -3.9427971721123374e+00
  -1.3379516543360000e+02  -1.3269525429851939e+02  -7.9332407930043214e+00  -3.9332530949202820e+00
  -1.3383018254942240e+02  -1.3273028400174204e+02  -7.9236920312516448e+00  -3.9237060925842040e+00
  -1.3386519804052980e+02  -1.3276531205325813e+02  -7.9141403475585683e+00  -3.9141561688058735e+00
  -1.3390021190848495e+02  -1.3280033845459900e+02  -7.9045857456279434e+00  -3.9046033272875253e+00
  -1.3393522415485282e+02  -1.3283536320729829e+02  -7.8950282291630911e+00  -3.8950475717318547e+00
  -1.3397023478120042e+02  -1.3287038631289164e+02  -7.8854678018677902e+00  -3.8854889058420241e+00
  -1.3400524378909705e+02  -1.3290540777291704e+02  -7.8759044674462801e+00  -3.8759273333216537e+00
  -1.3404025118011401e+02  -1.3294042758891459e+02  -7.8663382296032616e+00  -3.8663628578748215e+00
  -1.3407525695582478e+02  -1.3297544576242649e+02  -7.8567690920438897e+00  -3.8567954832060676e+00
  -1.3411026111780504e+02  -1.3301046229499730e+02  -7.8471970584737862e+00  -3.8472252130203932e+00
  -1.3414526366763249e+02  -1.3304547718817352e+02  -7.8376221325990256e+00  -3.8376520510232539e+00
  -1.3418026460688699e+02  -1.3308049044350395e+02  -7.8280443181261274e+00  -3.8280760009205519e+00
  -1.3421526393715058e+02  -1.3311550206253952e+02  -7.8184636187620846e+00  -3.8184970664186553e+00
  -1.3425026166000734e+02  -1.3315051204683331e+02  -7.8088800382143289e+00  -3.8089152512243811e+00
  -1.3428525777704354e+02  -1.3318552039794059e+02  -7.7992935801907448e+00  -3.7993305590449991e+00
  -1.3432025228984753e+02  -1.3322052711741875e+02  -7.7897042483996746e+00  -3.7897429935882303e+00
  -1.3435524520000973e+02  -1.3325553220682730e+02  -7.7801120465499070e+00  -3.7801525585622424e+00
  -1.3439023650912276e+02  -1.3329053566772797e+02  -7.7705169783506740e+00  -3.7705592576756533e+00
  -1.3442522621878129e+02  -1.3332553750168461e+02  -7.7609190475116652e+00  -3.7609630946375345e+00
  -1.3446021433058212e+02  -1.3336053771026317e+02  -7.7513182577430069e+00  -3.7513640731573918e+00
  -1.3449520084612408e+02  -1.3339553629503177e+02  -7.7417146127552749e+00  -3.7417621969451869e+00
  -1.3453018576700822e+02  -1.3343053325756074e+02  -7.7321081162594920e+00  -3.7321574697113200e+00
  -1.3456516909483759e+02  -1.3346552859942236e+02  -7.7224987719671159e+00  -3.7225498951666376e+00
